label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,091215_0i,091215_0M,091215_1i,091215_1M,091215_3i,091215_3M,091215_5i,091215_5M,091215_15i,091215_15M,091215_45i,091215_45M,091215_120i,091215_120M,091215_240i,091215_240M
,0,19,2,667.127,14.17451,0.7581198,C13-label-3,NADH,HMDB01487,C21H29N7O14P2,0.03451347,0.9148948,664.1182,196.9421,0.0,265.206,203.6275,336.9784,868.7559,602.2462,637.0665,191.9497,372.6439,508.448,339.9283,567.1213,268.4696,837.7079,314.0721
,0,20,0,668.1309,14.189,0.2084949,C13-label-4,NADH,HMDB01487,C21H29N7O14P2,0.04899979,0.0,664.1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159.5867,149.4043,613.0466,158.2951,319.7973,213.4027
,0,21,5,669.1348,14.19109,0.8450596,C13-label-5,NADH,HMDB01487,C21H29N7O14P2,0.05108547,0.7297209,664.1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.559,0.0,3783.647,1726.432,5630.672,2595.243,12905.81,5121.637
,0,22,0,670.139,14.1645,0.3569781,C13-label-6,NADH,HMDB01487,C21H29N7O14P2,0.02449989,2.003728,664.1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.8568,0.0,1302.289,259.8859,1661.148,314.5075
,0,23,0,671.1403,14.1165,0.09061046,C13-label-7,NADH,HMDB01487,C21H29N7O14P2,0.02350044,1.091308,664.1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.5598,0.0
,0,24,1,674.1523,14.1477,0.8270518,C13-label-10,NADH,HMDB01487,C21H29N7O14P2,0.007699013,1.901263,664.1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,311.7376,0.0,1080.439,0.0
,0,25,0,675.1542,14.1318,0.1051657,C13-label-11,NADH,HMDB01487,C21H29N7O14P2,0.008199692,0.2712053,664.1182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.5138,0.0
,0,26,16,662.1021,9.146938,0.8222773,C12 PARENT,NAD+,HMDB00902,C21H27N7O14P2,0.5269384,0.3687357,662.1021,111436.4,120737.4,75423.34,103030.1,77205.66,81105.43,87756.44,93124.85,69062.18,96137.69,93610.71,96333.22,81500.41,99945.72,61535.02,82957.8
,0,27,16,663.1058,9.145034,0.8256108,C13-label-1,NAD+,HMDB00902,C21H27N7O14P2,0.525034,0.8284001,662.1021,21633.87,22378.48,14723.84,17601.76,15363.96,14474.16,15872.16,19169.94,13481.71,19264.26,16857.4,19308.73,14421.96,19914.67,12746.74,14592.86
,0,28,14,664.108,9.145034,0.8456169,C13-label-2,NAD+,HMDB00902,C21H27N7O14P2,0.525034,0.9190539,662.1021,3294.32,3400.779,2640.173,2905.32,1991.585,2478.246,2168.537,2626.995,2409.946,2838.896,2733.659,3747.906,3699.158,3667.851,2865.571,2702.617
,0,29,5,665.1108,9.158376,0.8250356,C13-label-3,NAD+,HMDB00902,C21H27N7O14P2,0.5383759,1.651801,662.1021,722.3647,554.9193,199.0937,231.8592,374.3839,643.3868,690.4221,993.6241,443.9616,624.6105,523.1379,483.2295,935.4636,787.3416,1746.898,1752.112
,0,30,1,666.1163,9.162058,0.6317437,C13-label-4,NAD+,HMDB00902,C21H27N7O14P2,0.542058,1.466056,662.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.0256,0.0,605.7289,448.4636,1313.74,1057.157
,0,31,4,667.1188,9.162122,0.8326833,C13-label-5,NAD+,HMDB00902,C21H27N7O14P2,0.5421219,0.1829814,662.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.817,0.0,4190.355,1766.112,10289.47,7066.591,21397.11,14450.95
,0,32,3,668.1224,9.168157,0.8161104,C13-label-6,NAD+,HMDB00902,C21H27N7O14P2,0.5481567,0.6394731,662.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466.4513,0.0,1925.064,1209.896,3143.513,2083.161
,0,33,0,669.1249,9.158465,0.1096977,C13-label-7,NAD+,HMDB00902,C21H27N7O14P2,0.5384655,0.7297306,662.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,146.9736,597.0577,147.3017,734.3687,494.4824
,0,34,0,670.1282,9.1799,0.06493127,C13-label-8,NAD+,HMDB00902,C21H27N7O14P2,0.5599003,0.8197178,662.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.3874,210.4109,0.0
,0,35,0,671.1335,9.135484,0.08802802,C13-label-9,NAD+,HMDB00902,C21H27N7O14P2,0.5154839,2.091702,662.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.2192,0.0
,0,36,1,672.1356,9.165106,0.6627043,C13-label-10,NAD+,HMDB00902,C21H27N7O14P2,0.5451059,0.2724235,662.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.3104,0.0,549.7576,571.4988,2238.429,389.8896
,0,37,0,673.1396,9.120234,0.09751494,C13-label-11,NAD+,HMDB00902,C21H27N7O14P2,0.5002337,1.178742,662.1021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.9037,0.0
,0,38,16,611.1453,12.87146,0.7982515,C12 PARENT,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.06853867,0.898832,611.1453,633102.2,233176.1,592066.7,217866.1,723651.5,227921.0,714246.5,240408.9,488337.1,251495.4,922502.2,265834.5,1017900.0,436036.0,896482.8,318093.3
,0,39,15,612.149,12.86956,0.8092718,C13-label-1,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.07043839,1.495598,611.1453,123730.0,44754.25,113855.1,40773.39,136252.1,44406.66,135203.9,39303.04,95036.22,48100.63,181633.4,54204.55,199097.7,86513.66,183603.8,62763.38
,0,40,2,613.1503,12.8378,0.8231269,C13-label-2,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.1021996,1.791781,611.1453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123292.7,0.0,203377.5,0.0
,0,41,1,614.1532,12.81785,0.8219776,C13-label-3,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.1221495,2.583899,611.1453,0.0,145.9006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22801.13,0.0,52479.44,2017.46
,0,42,2,615.1564,12.88232,0.8110955,C13-label-4,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.05768204,2.877341,611.1453,0.0,204.099,277.7264,0.0,379.6227,0.0,159.3971,140.6951,0.0,170.5268,187.7738,0.0,14131.35,148.4025,51275.8,361.9753
,0,43,2,616.1606,12.84687,0.8475327,C13-label-5,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.09313297,1.485856,611.1453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5682.283,0.0,23461.14,325.2316
,0,44,1,617.167,12.8378,0.8112717,C13-label-6,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.1021996,3.461361,611.1453,0.0,0.0,0.0,0.0,0.0,126.3998,0.0,0.0,0.0,0.0,0.0,0.0,1633.821,0.0,7660.277,0.0
,0,45,1,618.1685,12.8371,0.8263655,C13-label-7,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.1028996,0.394942,611.1453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735.08,0.0
,0,46,1,619.1675,12.8302,0.6168864,C13-label-8,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.1097994,6.505984,611.1453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.9786,0.0,831.1465,0.0
,0,47,0,620.1732,12.8675,0.08897849,C13-label-9,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.07250023,2.755649,611.1453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.3846,0.0
,0,48,0,625.1938,12.9546,0.09266639,C13-label-14,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.01460075,3.416921,611.1453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0,49,0,629.2075,12.9892,0.07987075,C13-label-18,glutathione disulfide,HMDB03337,C20H32N6O12S2,0.04920006,3.78314,611.1453,0.0,0.0,146.9004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,0,50,16,606.0748,13.37124,0.8181904,C12 PARENT,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2087622,0.8056458,606.0747,1104947.0,2514939.0,968273.2,2214537.0,1070877.0,2070921.0,1055327.0,2413878.0,880112.2,2231914.0,742994.0,2079711.0,556604.9,2056128.0,334132.5,1116935.0
,0,51,16,607.0782,13.37124,0.8202559,C13-label-1,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2087622,0.9048535,606.0747,188528.0,471555.5,165386.4,407287.8,184185.7,364361.2,184980.5,450461.9,151249.7,409057.0,125309.3,378595.5,95492.44,363830.1,62899.64,194239.8
,0,52,14,608.0798,13.37029,0.8249343,C13-label-2,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.209712,2.107841,606.0747,37034.76,95879.4,30038.33,79308.72,32229.84,76121.46,35873.44,92943.72,28196.83,80414.85,29573.76,75629.68,27776.03,82247.15,23126.02,41346.46
,0,53,15,609.0832,13.376,0.829138,C13-label-3,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2040005,1.903953,606.0747,6253.584,13329.17,4879.779,13339.39,5778.797,11145.46,5607.568,12200.8,4031.748,12048.3,5122.201,13123.83,9982.939,23621.28,6490.912,17303.65
,0,54,11,610.0892,13.3722,0.8457799,C13-label-4,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2077999,2.501081,606.0747,397.193,1990.77,224.4229,1622.07,2652.979,1551.246,4142.979,3997.538,5408.164,8046.919,7984.209,11158.78,10684.66,19197.43,9003.895,15902.59
,0,55,8,611.0916,13.38151,0.8357781,C13-label-5,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.1984911,0.7990319,606.0747,0.0,0.0,0.0,0.0,258.8938,0.0,1212.059,482.1421,3285.181,5759.038,31037.3,26493.45,52972.81,150951.5,60057.25,111564.3
,0,56,11,612.0948,13.37936,0.8225032,C13-label-6,UDP-N-acetyl-glucosamine,HMDB00290,C17H27N3O17P2,0.2006407,0.5982916,606.0747,0.0,0.0,0.0,0.0,3120.571,1846.485,9501.828,11551.57,30362.07,83020.09,149022.1,281023.6,205588.4,766819.3,181889.3,1012203.0
